,cookie,unique_user_ids,num_users,target_artist,target_user,num_target_users,A035765,A121720,A409478,A520311,A762816,A783696,AL143326,AL274308,AL283235,AL356613,AL411722,AL525793,AL531011,AL634586,AL748975,AL825739,add_comment,add_to_cart,cart,change_billing_address,change_password,change_shipping_address,change_withdrawal_method,confirmation,disable_mfa,download_info,homepage,pause,personal_details,play,rate,recommendations,search,search?q=classical,search?q=hip-hop,search?q=jazz,search?q=pop,search?q=rock,see_balance,send_message,skip,submit_purchase,view_full_info,withdraw_balance
10,2e9e8544e6590bdca5f26fdcc311892e,"['U610138', 'U238209', 'U018249', 'U824691', 'U507999']",5,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,42,0,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0
11,82b4242fef08c1f470a79b912da5d1d1,"['U931623', 'U710921', 'U224721', 'U435333', 'U048217']",5,"[nan, 'A000505', 'A000900', 'A000670', 'A000705', 'A000589', 'A000563', 'A000052', 'A000880', 'A000098', 'A000381', 'A000224', 'A000045', 'A000623', 'A000293', 'A000596', 'A000068', 'A000718', 'A000249', 'A000012', 'A000832', 'A000737', 'A000126', 'A000472']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,38,0,42,51,0,0,0,0,0,0,0,48,0,0,0
12,40b3ae6092bd5fd690c7c07270f7abe1,"['U592966', 'U960875', 'U069429', 'U441826', 'U723349']",5,"['A000639', nan, 'A000412', 'A000945', 'A000257', 'A000693', 'A000056', 'A000599', 'A000308', 'A000528', 'A000357', 'A000417', 'A000671', 'A000788', 'A000663', 'A000749']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,25,0,28,31,0,0,0,0,0,0,0,35,0,0,0
13,56c426d56caf22efeaa6f65c29c8c0a9,"['U191889', 'U895065', 'U417303', 'U393528']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,76fca35fedbf99ee3e2f609bc40ae9ce,"['U769104', 'U015931', 'U850650', 'U227153']",4,"['A000520', nan, 'A000576', 'A000268', 'A000826', 'A000254', 'A000382', 'A000129', 'A000647', 'A000792', 'A000643', 'A000583']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,0,34,32,0,0,0,0,0,0,0,28,0,0,0
15,3ad837e4a0357a513869bdd67a944393,"['U651983', 'U808041', 'U154831', 'U828639']",4,"[nan, 'A000982', 'A000635', 'A000720', 'A000417', 'A000108', 'A000663', 'A000968', 'A000970', 'A000081', 'A000141', 'A000265', 'A000867', 'A000991', 'A000905', 'A000178', 'A000359', 'A000031', 'A000680', 'A000807', 'A000312', 'A000030', 'A000121', 'A000517', 'A000351', 'A000890', 'A000986']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,36,0,43,45,0,0,0,0,0,0,0,47,0,0,0
16,aa5211f460591fea2e027aa14a9170db,"['U546189', 'U865159', 'U065507', 'U193151']",4,"['A000029', nan, 'A000091', 'A000034', 'A000305', 'A000626', 'A000688', 'A000458', 'A000073', 'A000603', 'A000288', 'A000095']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,20,29,0,0,0,0,0,0,0,24,0,0,0
17,370709f85845897bc7d0ca2e3f4defa9,"['U468847', 'U281785', 'U122311', 'U227621']",4,"['A000252', nan, 'A000977', 'A000889', 'A000354', 'A000322', 'A000878', 'A000573', 'A000331', 'A000260', 'A000110']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,17,11,0,0,0,0,0,0,0,19,0,0,0
18,be451e6375482926fa57960290912c47,"['U123431', 'U389862', 'U573245', 'U222397']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,50,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0
19,cf332e89d0315df2f8f79ceb42c361fb,"['U472409', 'U520320', 'U928990', 'U203257']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,45,0,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5ae63cada6380d281513ede51a892d49,"['U855408', 'U567167', 'U638547']",3,"[nan, 'A000904', 'A000004', 'A000257', 'A000045', 'A000173', 'A000038', 'A000304', 'A000696', 'A000311', 'A000965', 'A000605', 'A000852', 'A000820', 'A000435']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,16,0,27,23,0,0,0,0,0,0,0,34,0,0,0
21,c0db5db5d91174cacf05ee6b3f7f6414,"['U556984', 'U566824', 'U969097']",3,"['A000528', nan, 'A000161', 'A000192', 'A000189', 'A000679', 'A000037', 'A000457', 'A000891', 'A000050', 'A000626', 'A000143', 'A000693', 'A000769', 'A000207', 'A000755', 'A000267', 'A000641']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,28,34,0,0,0,0,0,0,0,28,0,0,0
